
="                                        ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="                                        ",="full_time",="part_time_t2",="part_time_t2",="part_time_t2",="part_time_t2",="asinh_hrsocup_5",="asinh_hrsocup_5",="asinh_ingocup_5",="asinh_ingocup_5"

="post_gm_died                            ",="-0.0253*",="0.00989",="0.0316",="-0.0266",="0.0440",="0.00298",="0.0350",="0.0145",="0.132"
="                                        ",="(0.0151)",="(0.0131)",="(0.0287)",="(0.0851)",="(0.0297)",="(0.0718)",="(0.0578)",="(0.151)",="(0.107)"

="post_gm_died_o_le_5                     ",="-0.0850***",="-0.0391*",="-0.126*",="-0.339**",="-0.0575",="-0.355**",="-0.128",="-0.763**",="-0.294"
="                                        ",="(0.0289)",="(0.0233)",="(0.0647)",="(0.152)",="(0.0499)",="(0.164)",="(0.106)",="(0.339)",="(0.180)"

="Household-level clustered SE            ",="HH",="HH",="HH",="HH",="HH",="",="",="",=""
="Sample                                  ",="",="",="",="",="",="",="& employed==1",="",="& employed==1"
="N                                       ",="484454",="484454",="196376",="35894",="148905",="393456",="123942",="393456",="123942"

